,datetime,departamento,empresa,lineas
0,2012/01,AMAZONAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,2596
1,2012/01,ANTIOQUIA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1627
2,2012/01,ANTIOQUIA,EDATEL S.A.,136592
3,2012/01,ANTIOQUIA,TELMEX-COMCEL S.A.,75954
4,2012/01,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,1339951
5,2012/01,ARAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13614
6,2012/01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,9677
7,2012/01,ATLÁNTICO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,92921
8,2012/01,ATLÁNTICO,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),127053
9,2012/01,ATLÁNTICO,METROTEL S.A,0
10,2012/01,ATLÁNTICO,TELMEX-COMCEL S.A.,39485
11,2012/01,ATLÁNTICO,UNE EPM TELECOMUNICACIONES S.A.,5713
12,2012/01,BOGOTÁ D.C.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,178399
13,2012/01,BOGOTÁ D.C.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,1681371
14,2012/01,BOGOTÁ D.C.,EMPRESA DE TELECOMUNICACIONES DE COLOMBIA S.A. - INFONET ENTERPRISE,103
15,2012/01,BOGOTÁ D.C.,TELMEX-COMCEL S.A.,373407
16,2012/01,BOGOTÁ D.C.,UNE EPM TELECOMUNICACIONES S.A.,166836
17,2012/01,BOLÍVAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,101187
18,2012/01,BOLÍVAR,TELMEX-COMCEL S.A.,8535
19,2012/01,BOLÍVAR,UNE EPM TELECOMUNICACIONES S.A.,16834
20,2012/01,BOYACÁ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,55882
21,2012/01,BOYACÁ,TELMEX-COMCEL S.A.,1586
22,2012/01,CALDAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,18929
23,2012/01,CALDAS,TELMEX-COMCEL S.A.,11216
24,2012/01,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,99595
25,2012/01,CAQUETÁ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,12753
26,2012/01,CASANARE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,11756
27,2012/01,CASANARE,EMPRESA DE TELECOMUNICACIONES DE LA ORINOQUIA S.A. E.S.P.,3440
28,2012/01,CASANARE,TELMEX-COMCEL S.A.,5
29,2012/01,CAUCA,CAUCATEL S.A E. S. P,17026
30,2012/01,CAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15281
31,2012/01,CAUCA,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,31770
32,2012/01,CAUCA,TELMEX-COMCEL S.A.,8165
33,2012/01,CESAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,38646
34,2012/01,CESAR,EDATEL S.A.,9073
35,2012/01,CESAR,TELMEX-COMCEL S.A.,4356
36,2012/01,CHOCÓ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15521
37,2012/01,CUNDINAMARCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,106506
38,2012/01,CUNDINAMARCA,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,92026
39,2012/01,CUNDINAMARCA,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,24088
40,2012/01,CUNDINAMARCA,TELMEX-COMCEL S.A.,31428
41,2012/01,CUNDINAMARCA,UNE EPM TELECOMUNICACIONES S.A.,5141
42,2012/01,CÓRDOBA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,32847
43,2012/01,CÓRDOBA,EDATEL S.A.,25515
44,2012/01,CÓRDOBA,TELMEX-COMCEL S.A.,2860
45,2012/01,GUAINÍA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,428
46,2012/01,GUAVIARE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1128
47,2012/01,HUILA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76557
48,2012/01,HUILA,TELMEX-COMCEL S.A.,11283
49,2012/01,HUILA,UNE EPM TELECOMUNICACIONES S.A.,3
50,2012/01,LA GUAJIRA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20981
51,2012/01,LA GUAJIRA,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,41
52,2012/01,MAGDALENA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,53247
53,2012/01,MAGDALENA,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,612
54,2012/01,MAGDALENA,TELMEX-COMCEL S.A.,6998
55,2012/01,META,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,40747
56,2012/01,META,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,25306
57,2012/01,META,TELMEX-COMCEL S.A.,5830
58,2012/01,NARIÑO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,46673
59,2012/01,NARIÑO,TELMEX-COMCEL S.A.,7521
60,2012/01,NARIÑO,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,1424445
61,2012/01,NORTE DE SANTANDER,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,100150
62,2012/01,NORTE DE SANTANDER,TELMEX-COMCEL S.A.,13934
63,2012/01,NORTE DE SANTANDER,UNE EPM TELECOMUNICACIONES S.A.,2968
64,2012/01,PUTUMAYO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,8097
65,2012/01,QUINDÍO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47484
66,2012/01,QUINDÍO,TELMEX-COMCEL S.A.,8639
67,2012/01,QUINDÍO,UNE EPM TELECOMUNICACIONES S.A.,7071
68,2012/01,RISARALDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,12429
69,2012/01,RISARALDA,EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A.,152054
70,2012/01,RISARALDA,TELMEX-COMCEL S.A.,22938
71,2012/01,SANTANDER,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73826
72,2012/01,SANTANDER,EDATEL S.A.,10678
73,2012/01,SANTANDER,EMPRESA DE TELECOMUNICACIONES DE BUCARAMANGA S.A. E.S.P.,196068
74,2012/01,SANTANDER,TELMEX-COMCEL S.A.,28787
75,2012/01,SANTANDER,UNE EPM TELECOMUNICACIONES S.A.,19520
76,2012/01,SUCRE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23161
77,2012/01,SUCRE,EDATEL S.A.,10515
78,2012/01,SUCRE,TELMEX-COMCEL S.A.,2018
79,2012/01,TOLIMA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,111290
80,2012/01,TOLIMA,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,4399
81,2012/01,TOLIMA,TELMEX-COMCEL S.A.,13250
82,2012/01,VALLE DEL CAUCA,BUGATEL S.A. ESP,18869
83,2012/01,VALLE DEL CAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,119385
84,2012/01,VALLE DEL CAUCA,COOPERATIVA MULTIACTIVA DE BORRERO AYERBE,0
85,2012/01,VALLE DEL CAUCA,EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A.,4306
86,2012/01,VALLE DEL CAUCA,EMPRESA DE TELEFONOS DE CARTAGO S.A.  E.S.P.   TELECARTAGO,20831
87,2012/01,VALLE DEL CAUCA,EMPRESA DE TELEFONOS DE JAMUNDI S.A. E.S.P. - TELEJAMUNDI S.A. E.S.P.,6981
88,2012/01,VALLE DEL CAUCA,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,438262
89,2012/01,VALLE DEL CAUCA,ERT SA ESP,26380
90,2012/01,VALLE DEL CAUCA,TELEPALMIRA S.A. ESP,66923
91,2012/01,VALLE DEL CAUCA,TELMEX-COMCEL S.A.,107858
92,2012/01,VALLE DEL CAUCA,UNE EPM TELECOMUNICACIONES S.A.,13690
93,2012/01,VALLE DEL CAUCA,UNITEL S.A ESP,55656
94,2012/01,VAUPÉS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,177
95,2012/01,VICHADA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,486
96,2012/02,AMAZONAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,2529
97,2012/02,ANTIOQUIA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1586
98,2012/02,ANTIOQUIA,EDATEL S.A.,135452
99,2012/02,ANTIOQUIA,TELMEX-COMCEL S.A.,85359
100,2012/02,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,1308874
101,2012/02,ARAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13469
102,2012/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,9607
103,2012/02,ATLÁNTICO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,91694
104,2012/02,ATLÁNTICO,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),126906
105,2012/02,ATLÁNTICO,TELMEX-COMCEL S.A.,40682
106,2012/02,ATLÁNTICO,UNE EPM TELECOMUNICACIONES S.A.,7901
107,2012/02,BOGOTÁ D.C.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,179035
108,2012/02,BOGOTÁ D.C.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,1648710
109,2012/02,BOGOTÁ D.C.,EMPRESA DE TELECOMUNICACIONES DE COLOMBIA S.A. - INFONET ENTERPRISE,103
110,2012/02,BOGOTÁ D.C.,S3 SIMPLE SMART SPEEDY S.A.S.,25
